reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
b9a3f01f-3fd5-4bc1-acdc-9bdcb8304354,Conrad Taylor,https://play-lh.googleusercontent.com/a/ACg8ocIdrRiSqQDcNlPMtLFbtlC9osKgxwsF4jC-uX-LwYFe=mo,80% or more profiles are fake.,2,0,15.3.0,2024-03-15 00:29:19,"Sorry to hear you’re having a negative experience with Tinder. We appreciate you taking the time to reach out to us, so thank you for sharing your feedback.",2024-03-15 07:00:17,15.3.0
90e02bb2-f9e5-4d12-9fb1-5fd8d9703a7d,Soh Kun,https://play-lh.googleusercontent.com/a-/ALV-UjV2OSiOdmCrubSFOeoMlP1mhz7Kd6cgs862bCEcHstloVs,"Trick people purchase tinder gold, say trial for 1. for month .. in the end charge $8.73 immediately to banks account.. without any notification or reminder..this platform is another scam👎🏻 Already flagged as inappropriate app👎🏻",1,0,15.3.0,2024-03-15 00:25:10,Thanks for sharing this. We’re sorry to hear about your experience on Tinder. We value our member’s experience and we take reports of this nature seriously. Please reach out to gotinder.com/help to report this incident to our team and we’ll be in touch.,2024-03-15 00:57:51,15.3.0
1ea01647-d517-456f-bbf5-868a9c829693,Jarrod Hayes,https://play-lh.googleusercontent.com/a/ACg8ocJqFH5yke881mBqEP2MEImrXyoIZkuAaCVHeaE7JRtT=mo,"use BUMBLE instead I went to download tinder after becoming single again and my account was banned. Requested reasoning and help sorting out the issue but not a single person could help because I could not sign into my account (which I didn't have) for ""privacy"". I believe the help team are lazy and have no idea what they are doing. even after their response to this they have not replied to my email and if I could give negative I would.",1,1,,2024-03-15 00:19:28,"Thank you for your comment. We're sorry you didn't enjoy your experience on Tinder. Your feedback is important to us, and we appreciate you taking the time to share your thoughts.",2024-03-15 07:00:15,
5fca3420-2167-4246-a819-0bfc5fb3dd41,Aniket pant,https://play-lh.googleusercontent.com/a-/ALV-UjVMvdi6ZU5YAos0spb1DtICir_Gx1lel5_5PJIA3iu5hg,Why do I have to verify my account again n again?Being a trans I might have pictures with makeup on and in dresses but I've uploaded without makeup images too your system is crashed and so bad that you don'teven have a bit sense of findingsimilarities between a same person having two different sexual apperance.you need to update your system and try using manual verification this is the worst app of all I've ever used in my lifethen you'll make ads about sexual spectrum but humiliate onotherhand,1,0,15.3.0,2024-03-15 00:16:00,"Members have to be at least 18 years old to use Tinder. If you’re experiencing issues while trying to verify your age, please reach out to us at gotinder.com/help so we can help troubleshoot.",2024-03-15 00:57:57,15.3.0
b108d5a9-6dc9-4511-9f60-0beaf6b58142,Michael,https://play-lh.googleusercontent.com/a/ACg8ocLRI62c6zcypxR8pSS3m0pMkLw0YG-5HRhZVWl5I15g=mo,I REALLY WISH YOU GUYS WOULD DEAL WITH ALL THE FAKE PROFILES AND SCAMMERS.,1,0,15.4.0,2024-03-15 00:07:26,"Thanks for sharing your feedback. We want everyone to be their genuine self on Tinder, so it’s an enjoyable experience for all. You can report any suspicious profile by going to their profile and scrolling down to ‘Report’.",2024-03-15 00:57:35,15.4.0
8b90ce8c-5208-480c-a3ee-c1030bfa1400,Jonathan Ficyk,https://play-lh.googleusercontent.com/a/ACg8ocIC_tyvVa6t-yA5KGg5LIcgY3MfIKImNej7w2cxwjBX=mo,"Edit: negative stars. Added another feature behind the pay wall. And it stopped offering me the one secret admirer. //ZERO STARS. Literally withholds people that like you behind a paywall. You could only hit the like button until you are out of likes, then get a notification saying oops you missed a match. Notifications for matches and messages to find it not loading or non-existent. It's a money hungry scam now.",1,1,15.3.0,2024-03-15 00:07:16,"Thank you for sharing this experience with us. We take reports like this very seriously. If you think somebody you're talking to may not be genuine, please report them to us using our contact form: gotinder.com/help.",2024-03-15 00:57:50,15.3.0
8b2eb605-4b1c-430d-982b-c899c96ca5af,BAT,https://play-lh.googleusercontent.com/a-/ALV-UjWA_RKjb4lL7Xov-fZ2Kh4NZMiV5vmGxYnjQSiN_5Zui3c,It's doesn't even let you chat ppl,1,0,,2024-03-15 00:04:15,"Thank you for your comment. We're sorry you didn't enjoy your experience on Tinder. Your feedback is important to us, and we appreciate you taking the time to share your thoughts.",2024-03-15 07:00:17,
93b50e01-e608-42a7-b7ce-92264dcc591e,j t,https://play-lh.googleusercontent.com/a/ACg8ocJ2YIaCVW8irg0xKWBU6TWPCJ4Tjm5kTbvh3__nb6pT=mo,scam,1,0,15.4.0,2024-03-14 23:47:23,,,15.4.0
68f6d873-dda6-4fcf-94d4-fabc620d8624,Maksymilian Magdij,https://play-lh.googleusercontent.com/a-/ALV-UjWqran9UEaDo2eJ8cGgTpkqRdGynw3s1fRIt0nbGrPR728,"I just got banned on my number for no reason 3 days after buying tinder gold and then when I tried to reach out to support they just ""couldn't help me"" (I tried multiple times sadly the customer service sucks)",1,0,,2024-03-14 23:16:45,"We’re sorry to hear about this. If you need help to resolve your billing issue or you’d like to request a refund, please let us know at gotinder.com/help and we’ll connect.",2024-03-15 00:57:25,
f23c2169-f780-495b-aea7-565159fed2b7,Donny,https://play-lh.googleusercontent.com/a/ACg8ocIvcJ7k9lbC4mTgSDeqWrHu2GYmz6DI2hSq7gbtqjrb=mo,"Horrible, app wont worke. Even purchased platinum",1,0,15.3.0,2024-03-14 23:08:49,"Thank you for your comment. We're sorry you didn't enjoy your experience on Tinder. Your feedback is important to us, and we appreciate you taking the time to share your thoughts.",2024-03-15 00:57:47,15.3.0
526add40-bb94-48ac-a68b-3ad12bb2577f,Alexandru Noroc,https://play-lh.googleusercontent.com/a-/ALV-UjUVJXpDp8a5zxpb2ygIFpNslEXENI0YRC_4yS_hnxEnA58,The fact that someone can send you like and then never write a word is unpleasant. I think it would be a good idea to punish for that with a temporary ban or something similar. This in turn will make people more aware of how many likes they send and to whom.,4,0,15.3.0,2024-03-14 22:54:47,,,15.3.0
7236dc3b-5b22-4f43-ac7a-b61510dfc5b0,Eren Ceylan,https://play-lh.googleusercontent.com/a/ACg8ocIuKhBkLzXe94mh4NIxOawb9nd24hl6TgkordN8WuNr=mo,awesome,5,0,15.3.0,2024-03-14 22:27:19,,,15.3.0
ba2e9911-c7e6-460a-92d3-e3e79762ad3f,Arjun R sahu,https://play-lh.googleusercontent.com/a-/ALV-UjV_qVYHB2nodhGCFRU0442hxnbfQXiA0xAHt7HgIrGwKg,Fake ppl,1,0,15.3.0,2024-03-14 22:10:57,,,15.3.0
4280d0ed-cc30-4c0c-a0b2-f2cf396f0b64,Noor Wahid,https://play-lh.googleusercontent.com/a-/ALV-UjW371tcLpmTfwOdcEOpmHN0x4oLyXsgmsiWOepuEm5_WWA,Noorwahid kunari,5,0,,2024-03-14 22:05:25,,,
ceec0e2e-4a6f-4dde-b93f-b44defcd2714,Betty Chepkoech,https://play-lh.googleusercontent.com/a/ACg8ocLjzktaYoO-ReTewGbS0iUaF94fnHQZG-HIy9M4tXKB=mo,I don't have experienced here but I'm surching for my soulmate,5,0,15.3.0,2024-03-14 21:58:27,,,15.3.0
c7a47169-30c3-4e77-8fa6-4b85e508e36c,Kristina Polanski,https://play-lh.googleusercontent.com/a/ACg8ocIbJGly2hn2DvDLSSiUV2Xc7xvlQLf_jgvyZwEapACw=mo,"I dislike very much that I cannot translate the description, there's just no option for it. U see that someone likes u but when u get into his profile u cannot translate his description. No way to do it. Disgusting!",3,0,15.3.0,2024-03-14 21:41:55,"Thank you for your comment. We're sorry you didn't enjoy your experience on Tinder. Your feedback is important to us, and we appreciate you taking the time to share your thoughts.",2024-03-15 00:57:46,15.3.0
9d3e5017-e85e-4101-927b-94b783572bd8,ado ort,https://play-lh.googleusercontent.com/a-/ALV-UjWqcMUB17Hi6nx2hG0mSD5E4SY_dxL8I16BHZsRZ0-eWJA,"This is the worst dating application i have seen ever, ever. the first thing I have to say is the intended desire of the tinder company to ensure that they keep users' money. A decent company will say one week for $18.99, and that's that. These thieves On the other, hand say we'll continue charging your car until you cancel. What is more likely to happen is that one will forget to cancel after the first week or the first month, whatever. This is what I call high road thievery. Now, this site",1,1,7.3.1,2024-03-14 21:39:03,"Sorry to hear you feel this way. Here to remind you that you can use Tinder for free, although we also offer paid Premium features for people who want to elevate their Tinder experience. Pricing for Tinder products, as well as the offerings available, may vary based on your location, date, and time of purchase.",2024-03-15 00:57:35,7.3.1
